age,gender,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,attendance_percentage,internship_experience,dsa_level,coding_practice,projects_completed,aptitude_level,communication_level,mock_interviews,placement_status
18,Male,CSE,7.53,97.07,65.42,1,96.59,No,Intermediate,Occasionally,9,Not Started,Good,15,Placed
18,Male,Civil,7.2,63.82,60.57,0,99.85,No,Advanced,Regularly,7,Not Started,Good,3,Placed
20,Female,AI-ML,5.53,59.81,66.82,3,86.01,Yes,Intermediate,Regularly,7,Basic,Average,5,Not Placed
19,Other,ECE,8.2,92.57,67.88,1,64.36,No,Intermediate,Regularly,3,Not Started,Good,7,Placed
22,Male,CSE,6.08,74.32,53.3,1,93.99,Yes,Beginner,Occasionally,4,Basic,Weak,15,Not Placed
29,Male,AI-ML,8.1,92.27,67.74,1,52.46,Yes,Advanced,Occasionally,3,Not Started,Good,4,Placed
27,Female,AI-ML,8.25,94.3,72.28,0,61.55,Yes,Beginner,None,8,Not Started,Average,20,Placed
23,Other,CSE,5.76,57.75,84.69,2,94.87,Yes,Beginner,Occasionally,1,Good,Average,9,Not Placed
24,Other,Mechanical,5.31,93.87,81.52,3,62.81,No,Beginner,None,10,Basic,Good,12,Not Placed
21,Female,AI-ML,8.9,74.73,84.02,1,61.03,No,Advanced,Regularly,7,Good,Weak,13,Placed
24,Female,Mechanical,7.3,77.46,50.4,0,56.91,Yes,Beginner,Regularly,1,Good,Weak,6,Not Placed
28,Other,CSE,5.29,82.57,60.45,2,92.96,Yes,Beginner,Regularly,0,Basic,Average,19,Not Placed
25,Male,Mechanical,9.97,95.76,81.76,0,75.0,No,Beginner,None,9,Basic,Average,5,Placed
28,Other,IT,5.29,55.84,73.23,1,83.74,Yes,Intermediate,Occasionally,2,Not Started,Weak,6,Not Placed
18,Female,ECE,8.48,75.98,50.26,2,61.95,No,Beginner,Regularly,8,Basic,Good,4,Placed
23,Male,Other,9.92,85.26,88.62,1,87.9,Yes,Advanced,Occasionally,2,Good,Good,20,Placed
25,Male,AI-ML,6.2,86.8,87.09,2,88.0,No,Advanced,Occasionally,8,Good,Good,17,Placed
22,Female,Civil,5.71,85.47,76.32,1,65.63,No,Intermediate,Regularly,6,Basic,Good,11,Placed
21,Female,ECE,5.61,60.92,53.19,0,70.53,No,Advanced,None,9,Good,Weak,5,Not Placed
19,Female,Other,6.52,68.17,86.79,3,60.48,Yes,Advanced,Occasionally,0,Not Started,Average,0,Not Placed
23,Other,Mechanical,5.51,70.78,78.02,0,98.83,Yes,Intermediate,Regularly,9,Good,Average,3,Placed
23,Other,AI-ML,8.46,90.4,87.53,1,82.28,Yes,Beginner,Occasionally,4,Not Started,Good,18,Placed
28,Male,Mechanical,5.31,67.27,86.08,0,96.73,Yes,Intermediate,Occasionally,8,Good,Weak,11,Not Placed
18,Female,IT,7.55,64.27,88.54,2,65.17,Yes,Beginner,Occasionally,2,Not Started,Weak,14,Not Placed
26,Male,CSE,9.98,97.13,74.86,2,89.09,No,Beginner,Occasionally,8,Not Started,Good,2,Not Placed
29,Male,AI-ML,9.07,55.39,56.74,1,88.29,No,Advanced,Occasionally,4,Basic,Good,19,Placed
28,Male,Other,8.08,98.9,82.22,1,84.58,No,Intermediate,None,8,Not Started,Good,7,Placed
23,Male,Other,6.53,84.78,79.78,2,98.28,No,Advanced,None,9,Basic,Average,10,Not Placed
30,Female,IT,8.12,91.45,85.63,1,69.68,No,Advanced,Regularly,5,Good,Good,15,Placed
20,Male,IT,7.64,67.96,58.15,1,56.54,No,Beginner,None,8,Good,Average,8,Not Placed
21,Female,AI-ML,7.13,55.63,59.36,3,83.59,No,Advanced,None,6,Good,Weak,2,Not Placed
29,Female,Mechanical,5.65,87.47,92.74,1,86.47,Yes,Intermediate,None,6,Not Started,Weak,4,Not Placed
28,Other,Civil,9.43,91.7,86.0,0,78.75,No,Advanced,Occasionally,7,Good,Average,19,Placed
21,Female,Other,7.25,87.58,93.59,3,60.34,Yes,Advanced,Occasionally,6,Good,Average,13,Placed
20,Other,Other,5.97,61.29,86.42,0,75.22,No,Beginner,Regularly,8,Basic,Average,14,Not Placed
27,Female,IT,6.84,88.15,78.66,0,65.61,No,Intermediate,Regularly,10,Basic,Average,5,Placed
20,Female,ECE,7.07,88.83,81.4,2,71.37,Yes,Advanced,Regularly,8,Good,Good,3,Placed
20,Female,IT,9.14,83.98,92.68,2,82.26,No,Beginner,Occasionally,5,Good,Weak,7,Not Placed
21,Other,Civil,8.67,88.71,77.78,1,87.26,Yes,Advanced,None,6,Not Started,Good,18,Placed
24,Other,Mechanical,8.85,92.22,80.35,3,61.61,No,Intermediate,None,1,Not Started,Average,4,Not Placed
21,Male,Mechanical,5.06,82.0,57.51,3,70.27,Yes,Advanced,Occasionally,8,Good,Good,12,Not Placed
26,Other,ECE,7.08,58.9,72.75,0,63.46,No,Advanced,Regularly,0,Basic,Good,15,Placed
18,Other,Other,7.41,76.46,84.39,1,59.93,Yes,Beginner,Regularly,0,Good,Weak,0,Not Placed
25,Other,IT,5.1,58.42,63.01,0,89.17,Yes,Advanced,Regularly,2,Not Started,Good,12,Placed
24,Other,Mechanical,6.3,72.93,59.71,1,95.46,No,Beginner,Occasionally,5,Basic,Weak,10,Not Placed
19,Male,Civil,8.8,72.91,65.06,0,68.51,No,Intermediate,Regularly,4,Basic,Average,20,Placed
25,Other,AI-ML,5.69,57.9,61.59,0,87.56,Yes,Advanced,Regularly,1,Not Started,Good,7,Not Placed
18,Female,CSE,7.68,70.35,60.32,1,94.85,No,Intermediate,Occasionally,8,Good,Average,7,Placed
28,Female,CSE,6.08,59.88,70.39,1,92.31,Yes,Intermediate,None,9,Good,Weak,13,Not Placed
29,Other,CSE,5.06,90.56,93.58,3,59.14,No,Advanced,Occasionally,3,Good,Average,12,Not Placed
26,Other,Other,6.21,96.7,74.34,2,97.81,Yes,Beginner,Occasionally,3,Not Started,Average,2,Not Placed
26,Female,IT,9.88,58.18,59.02,0,68.83,No,Intermediate,Occasionally,4,Basic,Weak,3,Placed
19,Female,ECE,9.01,97.03,53.69,1,66.96,Yes,Intermediate,Occasionally,7,Not Started,Average,19,Placed
24,Male,Mechanical,9.8,77.99,83.42,2,53.12,No,Advanced,None,9,Good,Average,14,Placed
27,Female,AI-ML,7.44,68.18,68.37,0,74.31,Yes,Advanced,Regularly,3,Not Started,Average,14,Placed
20,Female,Civil,5.55,58.38,89.45,1,55.45,Yes,Advanced,Occasionally,4,Basic,Good,20,Not Placed
24,Other,AI-ML,7.74,77.03,81.66,1,62.43,No,Advanced,None,3,Not Started,Average,12,Not Placed
29,Female,Civil,7.27,89.96,88.22,1,65.85,No,Advanced,Regularly,5,Good,Weak,8,Placed
27,Male,Other,9.22,86.11,63.05,0,90.44,Yes,Advanced,Regularly,2,Basic,Good,9,Placed
26,Female,IT,5.49,57.21,83.23,1,93.77,Yes,Beginner,Regularly,7,Not Started,Good,11,Not Placed
21,Other,CSE,7.44,58.21,62.67,0,65.12,Yes,Intermediate,Occasionally,5,Not Started,Weak,13,Placed
29,Other,IT,5.75,72.73,95.08,0,92.93,Yes,Beginner,Occasionally,9,Basic,Average,0,Not Placed
18,Female,Other,6.62,67.99,80.55,0,92.86,No,Beginner,Regularly,4,Basic,Good,13,Placed
19,Other,ECE,8.69,65.22,65.58,3,88.23,Yes,Advanced,Regularly,1,Good,Good,13,Placed
18,Male,ECE,7.38,67.36,62.94,3,57.33,Yes,Intermediate,Regularly,9,Basic,Good,7,Placed
29,Male,Other,6.88,90.35,59.16,1,84.52,Yes,Beginner,Regularly,9,Good,Average,15,Placed
22,Female,Civil,6.97,95.89,83.34,0,97.25,No,Advanced,Regularly,6,Not Started,Good,13,Placed
22,Female,Mechanical,7.3,72.82,60.5,0,84.13,Yes,Advanced,Regularly,1,Good,Weak,0,Placed
28,Female,Mechanical,8.93,94.87,78.57,2,66.58,No,Intermediate,None,0,Not Started,Average,15,Not Placed
24,Other,Civil,9.46,69.15,62.7,3,75.03,No,Beginner,Regularly,6,Basic,Weak,17,Placed
26,Male,ECE,9.78,75.96,81.77,0,82.29,No,Beginner,Occasionally,4,Not Started,Weak,6,Placed
26,Male,ECE,8.93,64.95,89.12,0,75.53,No,Beginner,Occasionally,0,Basic,Good,14,Placed
20,Other,ECE,6.58,83.18,87.35,1,56.0,No,Advanced,Occasionally,3,Not Started,Good,16,Not Placed
20,Male,IT,8.44,98.08,86.52,1,65.6,No,Intermediate,Regularly,3,Not Started,Good,18,Placed
20,Female,ECE,7.19,81.55,59.01,3,90.12,No,Intermediate,Occasionally,9,Not Started,Weak,12,Not Placed
21,Female,AI-ML,6.27,70.74,54.24,0,93.07,Yes,Beginner,None,6,Not Started,Average,8,Not Placed
25,Female,CSE,9.2,83.5,83.55,3,56.87,Yes,Advanced,Regularly,8,Good,Good,14,Placed
23,Male,ECE,5.19,60.41,67.68,1,97.62,No,Beginner,Occasionally,1,Not Started,Good,2,Not Placed
25,Female,Civil,9.51,94.1,70.75,0,66.44,Yes,Intermediate,None,0,Good,Weak,0,Placed
18,Other,CSE,7.31,77.14,51.5,0,83.12,Yes,Advanced,None,1,Basic,Average,15,Placed
25,Other,IT,8.19,74.77,62.46,1,87.59,No,Beginner,Occasionally,6,Basic,Weak,7,Not Placed
21,Male,Civil,8.3,80.78,51.62,0,90.6,Yes,Beginner,None,9,Good,Good,12,Placed
28,Other,CSE,9.48,82.49,92.2,0,97.29,No,Advanced,Occasionally,5,Basic,Weak,7,Placed
18,Other,Civil,8.18,58.16,61.68,0,65.65,Yes,Intermediate,None,3,Basic,Good,16,Placed
25,Male,IT,8.07,85.04,76.75,1,92.93,No,Advanced,Regularly,0,Not Started,Average,13,Placed
21,Female,AI-ML,5.33,65.64,51.87,0,56.58,No,Beginner,Regularly,0,Not Started,Weak,20,Not Placed
23,Female,IT,7.59,86.41,82.01,2,85.25,Yes,Beginner,Regularly,4,Not Started,Good,20,Placed
25,Female,IT,5.75,91.19,65.51,3,87.1,Yes,Beginner,Regularly,0,Good,Good,6,Not Placed
21,Male,Civil,8.69,90.37,93.1,1,83.89,No,Beginner,Regularly,6,Good,Good,14,Placed
20,Other,Other,7.56,79.31,92.63,3,62.62,No,Intermediate,Occasionally,10,Basic,Good,15,Placed
26,Female,Mechanical,8.4,77.89,65.61,0,93.65,No,Intermediate,Regularly,0,Not Started,Weak,18,Placed
20,Female,ECE,5.21,61.29,93.25,0,58.44,Yes,Beginner,Regularly,0,Good,Good,5,Not Placed
26,Male,ECE,5.42,89.12,97.82,0,52.68,Yes,Intermediate,Regularly,1,Good,Weak,0,Not Placed
30,Female,AI-ML,8.58,66.94,89.62,3,85.87,Yes,Intermediate,Regularly,10,Not Started,Good,11,Placed
19,Male,AI-ML,5.36,76.85,90.55,1,73.77,Yes,Intermediate,None,9,Good,Weak,17,Not Placed
19,Other,ECE,5.36,67.51,61.95,1,92.45,No,Beginner,Regularly,2,Not Started,Weak,15,Not Placed
19,Male,Mechanical,5.06,60.89,77.68,3,69.17,No,Advanced,Regularly,10,Basic,Good,11,Not Placed
23,Male,ECE,9.78,82.7,53.23,0,58.41,No,Advanced,Occasionally,0,Basic,Good,19,Placed
20,Male,Other,8.69,57.39,54.56,3,91.82,No,Advanced,None,8,Basic,Good,12,Placed
30,Male,Mechanical,6.77,87.94,97.95,0,77.45,Yes,Beginner,Occasionally,9,Not Started,Good,7,Placed
26,Other,AI-ML,6.48,68.97,65.68,1,59.46,No,Intermediate,Regularly,7,Good,Average,0,Not Placed
21,Other,CSE,6.75,55.01,85.91,3,86.02,No,Intermediate,Occasionally,4,Basic,Good,20,Not Placed
18,Female,Civil,8.87,77.49,88.72,0,75.56,Yes,Beginner,Occasionally,10,Basic,Good,6,Placed
21,Other,Other,8.31,57.06,91.19,0,80.22,Yes,Beginner,Regularly,1,Basic,Good,14,Placed
18,Other,Other,5.93,67.15,97.89,0,73.04,No,Advanced,None,4,Good,Weak,12,Not Placed
22,Female,AI-ML,5.87,86.11,61.59,1,91.44,Yes,Advanced,None,5,Good,Good,12,Placed
21,Other,AI-ML,5.49,57.76,51.94,0,91.48,No,Beginner,Occasionally,0,Not Started,Weak,8,Not Placed
25,Male,IT,8.3,91.93,69.74,3,85.47,Yes,Advanced,Regularly,10,Basic,Weak,14,Placed
25,Male,Other,8.82,55.17,56.24,1,55.27,Yes,Intermediate,Occasionally,3,Good,Weak,3,Placed
24,Female,IT,6.33,65.86,51.08,1,91.94,No,Beginner,Occasionally,8,Not Started,Weak,12,Not Placed
20,Female,IT,5.1,87.6,67.3,0,83.55,Yes,Beginner,Occasionally,1,Basic,Average,11,Not Placed
18,Female,Civil,5.41,68.92,87.62,3,84.85,No,Intermediate,Regularly,4,Good,Good,4,Not Placed
18,Male,IT,9.84,59.48,77.18,0,68.15,Yes,Intermediate,Regularly,0,Good,Weak,6,Placed
29,Other,Mechanical,6.48,70.85,65.01,0,93.96,Yes,Intermediate,None,3,Not Started,Good,7,Not Placed
28,Male,ECE,8.85,66.9,81.41,1,86.27,Yes,Advanced,Regularly,3,Basic,Weak,4,Placed
20,Female,CSE,8.12,92.08,61.14,1,55.63,Yes,Beginner,Occasionally,5,Basic,Average,8,Placed
23,Other,AI-ML,6.91,68.79,50.69,0,70.39,Yes,Advanced,Occasionally,9,Good,Weak,13,Placed
24,Other,Mechanical,6.03,89.71,86.69,0,94.32,No,Intermediate,None,8,Basic,Good,11,Not Placed
23,Male,CSE,5.61,94.24,79.94,0,52.36,Yes,Advanced,Regularly,2,Not Started,Good,3,Not Placed
23,Female,Other,8.08,74.09,86.59,0,98.07,No,Intermediate,Occasionally,8,Good,Average,19,Placed
23,Male,Other,8.87,95.04,51.87,0,83.96,Yes,Advanced,None,5,Good,Good,7,Placed
30,Other,Other,8.22,71.6,90.18,0,81.57,No,Advanced,None,6,Not Started,Good,16,Placed
20,Male,Mechanical,7.65,97.42,79.74,1,63.53,Yes,Intermediate,Occasionally,9,Good,Weak,7,Placed
23,Male,Mechanical,5.21,58.93,77.04,0,62.44,No,Advanced,Occasionally,1,Basic,Good,20,Not Placed
25,Female,AI-ML,9.84,85.23,79.98,1,97.1,No,Beginner,Regularly,10,Basic,Weak,0,Placed
28,Female,ECE,8.99,76.73,91.49,0,64.91,Yes,Advanced,None,9,Good,Average,19,Placed
28,Other,IT,6.46,72.06,78.17,0,88.78,Yes,Advanced,Occasionally,5,Not Started,Good,1,Placed
19,Male,Other,9.9,82.84,77.89,0,69.66,Yes,Beginner,None,5,Not Started,Weak,3,Placed
22,Male,Civil,8.01,85.97,97.55,0,56.96,No,Intermediate,Regularly,1,Basic,Good,20,Placed
18,Male,ECE,7.91,55.19,86.32,2,50.54,No,Beginner,Occasionally,1,Not Started,Weak,0,Not Placed
29,Other,Civil,8.74,62.35,71.23,0,77.21,Yes,Advanced,Regularly,1,Good,Average,6,Placed
18,Other,AI-ML,9.06,86.37,83.96,0,98.79,Yes,Intermediate,None,9,Good,Weak,0,Placed
22,Female,AI-ML,8.28,84.32,68.68,0,68.46,No,Advanced,Regularly,0,Basic,Good,8,Placed
29,Female,AI-ML,5.64,97.51,60.99,1,67.86,No,Advanced,Regularly,4,Basic,Weak,2,Not Placed
30,Female,CSE,6.69,88.49,78.65,2,67.2,Yes,Beginner,None,7,Basic,Good,11,Not Placed
20,Male,Civil,9.64,96.83,94.55,2,76.03,No,Beginner,Regularly,1,Not Started,Average,18,Not Placed
21,Male,ECE,6.12,85.91,94.6,1,72.03,Yes,Intermediate,None,4,Good,Weak,14,Placed
20,Female,ECE,6.86,68.11,66.41,2,94.0,Yes,Intermediate,Occasionally,7,Good,Good,15,Placed
18,Male,Mechanical,7.16,59.64,75.33,1,75.28,Yes,Intermediate,None,9,Good,Good,9,Placed
18,Female,Mechanical,7.2,89.4,60.16,0,75.39,No,Advanced,None,4,Basic,Good,5,Not Placed
29,Other,Other,8.06,83.34,97.79,1,56.92,No,Beginner,Occasionally,1,Good,Weak,16,Not Placed
29,Female,Mechanical,9.72,57.12,97.09,0,99.14,No,Beginner,None,2,Not Started,Weak,20,Placed
30,Other,AI-ML,6.2,70.84,81.18,1,62.5,No,Beginner,Occasionally,5,Not Started,Weak,16,Not Placed
22,Male,ECE,5.61,97.1,88.61,0,53.67,Yes,Intermediate,Occasionally,10,Good,Average,20,Placed
23,Female,Civil,5.99,77.02,84.32,0,83.16,No,Beginner,None,10,Basic,Good,18,Not Placed
20,Male,AI-ML,9.43,74.04,78.47,1,79.77,Yes,Beginner,Regularly,4,Good,Good,17,Placed
29,Other,CSE,8.23,75.14,52.56,0,70.76,Yes,Beginner,Regularly,10,Not Started,Average,10,Placed
26,Other,Mechanical,6.43,64.19,71.83,2,71.11,Yes,Intermediate,Occasionally,3,Not Started,Average,6,Not Placed
22,Other,AI-ML,9.08,71.22,82.39,0,89.25,No,Beginner,Regularly,3,Not Started,Weak,9,Placed
25,Male,AI-ML,9.31,71.27,82.52,3,59.79,Yes,Intermediate,Regularly,4,Good,Weak,6,Placed
30,Male,CSE,9.23,57.3,67.91,1,91.01,Yes,Beginner,None,1,Not Started,Weak,4,Not Placed
18,Male,IT,9.59,88.77,95.2,2,82.44,No,Beginner,Occasionally,8,Basic,Weak,11,Placed
22,Male,ECE,6.26,73.33,58.03,1,70.95,Yes,Beginner,Occasionally,1,Good,Weak,15,Not Placed
20,Other,Civil,8.78,91.18,74.02,2,72.9,No,Intermediate,None,9,Good,Weak,20,Placed
29,Other,Other,7.3,92.42,83.16,0,62.83,No,Intermediate,Regularly,1,Not Started,Average,17,Placed
18,Female,IT,9.21,64.33,83.46,1,87.61,No,Beginner,Occasionally,9,Not Started,Average,2,Placed
21,Female,Mechanical,8.64,83.92,81.13,0,75.64,Yes,Advanced,Regularly,8,Basic,Average,19,Placed
30,Male,AI-ML,8.88,75.78,63.21,0,66.04,No,Intermediate,Occasionally,2,Good,Good,14,Placed
22,Other,CSE,8.28,93.73,57.5,0,79.8,No,Intermediate,Occasionally,9,Not Started,Good,4,Placed
24,Other,CSE,5.89,64.49,80.53,0,99.79,No,Beginner,Occasionally,6,Basic,Weak,12,Not Placed
18,Other,ECE,7.73,84.82,78.77,0,71.76,No,Advanced,Occasionally,3,Not Started,Average,18,Placed
20,Female,IT,9.92,81.74,58.61,0,96.03,Yes,Beginner,Regularly,5,Good,Good,11,Placed
19,Female,Other,9.69,67.99,83.85,0,67.25,No,Intermediate,Regularly,3,Not Started,Good,20,Placed
26,Other,ECE,5.22,61.01,71.85,0,52.74,Yes,Intermediate,Regularly,9,Good,Average,4,Not Placed
27,Other,AI-ML,5.82,83.67,82.05,1,60.21,No,Beginner,Regularly,6,Not Started,Good,5,Not Placed
23,Other,ECE,5.66,87.5,90.19,0,70.93,Yes,Beginner,None,0,Good,Good,6,Not Placed
27,Female,Civil,8.63,68.89,58.15,1,60.98,No,Advanced,Occasionally,2,Basic,Average,9,Placed
20,Other,CSE,9.09,83.37,50.92,0,50.01,Yes,Advanced,Occasionally,2,Good,Good,15,Placed
25,Other,CSE,6.07,72.39,87.4,0,95.75,No,Intermediate,Occasionally,0,Basic,Average,7,Not Placed
25,Male,Mechanical,7.53,86.38,79.27,0,92.19,Yes,Advanced,None,5,Good,Good,8,Placed
19,Male,Mechanical,9.2,63.77,83.58,0,87.11,Yes,Advanced,Regularly,10,Basic,Average,3,Placed
23,Female,Other,8.66,94.17,90.23,0,58.39,Yes,Intermediate,Occasionally,8,Not Started,Good,20,Placed
24,Other,AI-ML,7.71,67.65,88.53,1,56.02,No,Intermediate,Regularly,7,Good,Good,20,Placed
19,Other,Civil,7.95,71.18,96.12,3,53.38,Yes,Intermediate,Regularly,10,Not Started,Average,7,Not Placed
28,Male,IT,7.54,57.56,75.72,1,86.2,Yes,Intermediate,None,6,Basic,Good,6,Placed
27,Female,ECE,6.49,59.91,73.45,0,96.44,Yes,Beginner,None,9,Good,Average,14,Not Placed
19,Male,Other,7.83,77.7,69.29,0,71.53,Yes,Intermediate,Regularly,7,Good,Average,20,Placed
27,Male,AI-ML,8.44,66.77,57.38,0,55.96,No,Intermediate,Occasionally,5,Not Started,Good,2,Placed
18,Male,Mechanical,9.37,91.76,77.49,1,75.62,Yes,Intermediate,Occasionally,8,Good,Weak,16,Placed
25,Male,ECE,8.18,55.65,63.3,1,67.44,Yes,Advanced,None,2,Good,Good,10,Placed
18,Other,Mechanical,8.81,71.68,94.22,2,68.74,Yes,Intermediate,None,9,Not Started,Weak,8,Not Placed
26,Other,ECE,5.8,69.84,77.99,0,81.07,No,Beginner,None,9,Good,Weak,4,Not Placed
28,Male,IT,7.31,55.85,78.46,0,85.94,Yes,Beginner,None,8,Not Started,Good,9,Placed
23,Female,AI-ML,5.05,60.47,67.04,3,55.53,Yes,Intermediate,None,3,Not Started,Weak,14,Not Placed
24,Female,ECE,6.23,73.2,52.5,0,51.78,Yes,Beginner,None,6,Not Started,Average,13,Not Placed
30,Female,Civil,8.63,76.69,51.52,2,99.72,Yes,Advanced,None,8,Not Started,Average,3,Placed
27,Female,Other,9.96,72.79,70.32,0,61.64,No,Intermediate,Occasionally,1,Not Started,Weak,20,Placed
24,Male,CSE,5.5,78.36,54.06,1,52.69,Yes,Beginner,None,1,Basic,Average,19,Not Placed
27,Other,Civil,7.01,81.19,79.13,3,59.49,Yes,Beginner,None,8,Basic,Good,1,Not Placed
20,Female,Civil,9.0,55.44,92.29,1,51.95,No,Intermediate,Occasionally,2,Not Started,Average,11,Placed
19,Male,Other,6.02,75.42,92.38,1,69.59,No,Beginner,Occasionally,8,Basic,Weak,0,Not Placed
26,Female,CSE,7.78,97.39,81.63,1,90.12,No,Intermediate,Regularly,4,Basic,Good,19,Placed
25,Female,Civil,8.67,77.84,60.14,1,67.06,Yes,Beginner,None,5,Good,Average,4,Placed
30,Male,ECE,8.08,84.81,91.42,1,72.21,No,Advanced,None,1,Not Started,Good,5,Not Placed
29,Other,ECE,5.94,68.72,92.53,3,83.78,Yes,Beginner,None,7,Basic,Weak,10,Not Placed
27,Other,ECE,6.78,89.06,59.44,1,75.44,No,Beginner,None,10,Good,Average,7,Not Placed
24,Male,CSE,8.92,89.01,85.4,0,93.07,Yes,Intermediate,Regularly,8,Good,Good,6,Placed
26,Other,Civil,7.77,77.94,63.75,2,93.3,No,Beginner,Occasionally,1,Not Started,Good,3,Not Placed
21,Male,CSE,5.03,97.94,88.53,2,50.5,Yes,Intermediate,Occasionally,5,Not Started,Average,5,Not Placed
30,Male,ECE,8.8,60.52,97.87,1,88.9,No,Advanced,None,5,Good,Good,15,Placed
21,Male,Other,5.18,55.75,51.44,0,73.04,Yes,Intermediate,None,7,Not Started,Good,19,Placed
18,Other,Civil,8.73,88.89,93.07,2,99.44,Yes,Intermediate,None,9,Not Started,Weak,14,Placed
25,Male,Civil,6.01,90.51,79.89,0,74.16,Yes,Beginner,Regularly,4,Good,Weak,13,Not Placed
29,Female,Mechanical,9.79,60.29,96.72,0,99.34,Yes,Advanced,Regularly,8,Good,Weak,11,Placed
20,Other,Mechanical,6.84,66.69,72.32,1,87.73,Yes,Intermediate,Occasionally,0,Not Started,Weak,11,Not Placed
24,Other,IT,6.63,55.77,90.67,2,62.43,Yes,Beginner,None,8,Basic,Weak,15,Placed
29,Other,AI-ML,5.74,67.91,52.99,2,76.92,Yes,Beginner,None,9,Not Started,Weak,14,Not Placed
19,Other,Mechanical,6.53,89.02,66.09,1,99.61,Yes,Intermediate,None,6,Basic,Average,12,Placed
19,Female,CSE,9.38,77.79,53.22,1,92.88,No,Beginner,None,3,Good,Weak,10,Not Placed
24,Other,Mechanical,9.98,70.32,96.82,1,54.87,Yes,Intermediate,Regularly,2,Basic,Good,16,Placed
23,Other,IT,6.84,71.36,89.21,2,85.32,Yes,Intermediate,Occasionally,9,Good,Average,20,Placed
20,Male,Civil,7.24,55.06,90.92,2,67.28,No,Intermediate,Occasionally,10,Not Started,Good,14,Placed
26,Other,IT,8.61,68.19,95.02,3,50.35,Yes,Advanced,Regularly,5,Not Started,Weak,13,Placed
27,Female,Civil,9.43,83.44,54.08,1,70.17,No,Intermediate,None,0,Good,Weak,9,Placed
30,Female,Other,7.97,97.86,68.51,1,61.74,Yes,Beginner,Occasionally,2,Good,Good,11,Placed
23,Female,Other,6.96,92.27,53.41,0,90.94,No,Advanced,Occasionally,1,Good,Good,15,Placed
27,Female,Civil,7.06,56.04,60.12,0,66.87,No,Beginner,Regularly,10,Not Started,Good,14,Placed
27,Other,AI-ML,8.48,94.54,61.01,1,91.38,Yes,Advanced,None,8,Not Started,Average,9,Placed
23,Other,Mechanical,5.02,89.46,72.52,1,50.03,No,Advanced,Occasionally,2,Basic,Weak,3,Not Placed
18,Female,CSE,8.1,89.34,62.89,1,65.39,Yes,Advanced,None,1,Good,Good,8,Placed
21,Female,CSE,6.78,75.15,54.85,0,62.06,Yes,Advanced,Occasionally,3,Basic,Weak,20,Placed
27,Other,ECE,8.97,72.51,58.04,2,61.68,Yes,Beginner,Regularly,1,Not Started,Good,19,Placed
23,Female,Civil,5.46,68.33,57.07,0,53.41,Yes,Intermediate,None,0,Basic,Weak,8,Not Placed
23,Male,CSE,7.94,57.89,96.71,3,59.36,No,Beginner,Regularly,5,Basic,Average,20,Not Placed
28,Female,AI-ML,7.4,65.04,86.45,1,77.78,Yes,Intermediate,Occasionally,9,Not Started,Weak,19,Placed
29,Female,Civil,8.21,65.85,96.45,0,64.57,No,Beginner,Regularly,7,Not Started,Good,10,Not Placed
22,Male,AI-ML,5.32,76.3,71.11,0,70.87,No,Advanced,Regularly,9,Good,Weak,10,Placed
18,Male,CSE,7.9,87.89,63.36,1,68.84,Yes,Advanced,Regularly,9,Basic,Average,6,Placed
25,Other,CSE,7.81,75.85,88.32,1,93.8,Yes,Intermediate,Occasionally,1,Not Started,Average,20,Placed
22,Other,ECE,7.8,57.55,65.66,1,95.26,Yes,Intermediate,None,8,Not Started,Weak,9,Placed
29,Male,CSE,8.02,97.14,64.37,0,74.65,Yes,Beginner,Regularly,2,Basic,Good,3,Placed
29,Male,Civil,8.38,96.48,61.16,2,66.51,No,Intermediate,None,7,Not Started,Average,4,Not Placed
29,Other,Other,9.02,89.55,56.22,3,55.34,Yes,Beginner,Occasionally,7,Good,Average,4,Placed
22,Female,Civil,6.35,98.62,62.31,3,97.67,No,Intermediate,None,2,Good,Weak,10,Not Placed
24,Male,Civil,9.13,78.96,67.06,2,53.01,Yes,Intermediate,Regularly,2,Basic,Average,8,Placed
21,Other,ECE,7.49,97.36,82.35,2,64.88,Yes,Intermediate,Regularly,5,Good,Average,15,Placed
23,Female,ECE,5.39,58.33,53.0,1,64.9,Yes,Advanced,Regularly,0,Not Started,Good,8,Not Placed
30,Male,CSE,5.29,71.09,60.1,0,66.02,Yes,Advanced,Regularly,3,Not Started,Good,3,Not Placed
21,Female,IT,6.67,64.92,88.83,1,58.21,No,Beginner,Regularly,0,Not Started,Good,1,Not Placed
20,Other,IT,8.92,63.62,57.05,3,89.16,No,Intermediate,Regularly,2,Not Started,Weak,13,Not Placed
24,Male,ECE,8.54,61.2,66.45,2,56.12,Yes,Beginner,Occasionally,8,Basic,Average,2,Not Placed
25,Female,CSE,8.94,82.39,91.5,1,81.75,No,Intermediate,Occasionally,4,Good,Weak,17,Placed
21,Male,IT,7.59,89.38,57.44,3,56.19,No,Advanced,Occasionally,4,Good,Average,20,Placed
30,Female,CSE,7.2,80.45,53.97,2,53.53,Yes,Advanced,None,10,Not Started,Average,5,Placed
19,Other,CSE,5.74,61.47,73.26,3,95.47,Yes,Intermediate,None,3,Basic,Average,10,Not Placed
29,Other,CSE,6.64,90.69,64.52,1,59.51,No,Intermediate,Occasionally,2,Not Started,Good,20,Not Placed
